,Battery_measurement_time,Battery name,Cycle,Charge_time_measured,Charge_min_Voltage,Charge_max_Voltage,Charge_min_Current_measured,Charge_max_Current_measured,Charge_Temp_measured,Discharge_time_measured,Discharge_min_Voltage_measured,Discharge_max_Voltage_measured,Discharge_min_Current_measured,Discharge_max_Current_measured,Discharge_Temp_measured,Capacity,SOH
0,2008-04-02 13:08:17,B0005,0,7597.875,3.479393559379272,4.2099486995035615,-4.030268477538787,1.5143932321982565,25.32407901830568,3690.234,2.612467347907089,4.191491807505295,-2.0180146876333027,0.000728585272845447,32.572328114029,1.8564874208181574,100.0
1,2008-04-02 16:37:51,B0005,1,10516.0,3.001950570776504,4.213016370444398,-3.361982908688226,1.5151784093535638,26.635622628116085,3672.344,2.587208728940726,4.189773213846608,-2.016820542901454,0.002927403359080335,32.72523522519307,1.846327249719927,99.45272071416714
2,2008-04-02 20:55:40,B0005,2,10484.547,3.0358785775794024,4.212788046609961,-3.384407789097242,1.5168939445650547,26.778175507896698,3651.641,2.6519168938437794,4.188186735991303,-2.016573862170142,0.0014836763652280672,32.64286193755933,1.8353491942234077,98.86138595081705
3,2008-04-03 01:12:38,B0005,3,10397.89,3.0661450551857485,4.212924011950438,-3.4122633601213583,1.5175028479320207,26.70320405781683,3631.563,2.592947964776547,4.188461118855572,-2.0159359571668354,0.001547011952723541,32.51487646204882,1.8352625275821128,98.85671763794173
4,2008-04-03 05:27:49,B0005,4,10495.203,3.0637656606174013,4.2128738833616,-3.403625146732859,1.5169487474809897,26.617004288392003,3629.172,2.547419651124539,4.188298524761055,-2.017425579158831,0.001701454824503414,32.38234901543077,1.8346455082120419,98.82348178817772
5,2008-04-03 09:44:35,B0005,5,10792.672,3.0593224041262927,4.212763963219923,-3.3944513625869224,1.5165104184246716,26.51849450408942,3652.281,2.5209480504077413,4.188815807948604,-2.0162347618032066,0.0024899497555445145,32.43418218230641,1.8356616600675495,98.87821697485944
6,2008-04-03 14:06:43,B0005,6,10789.985,3.0533599221041614,4.213176751734383,-3.401390462320561,1.5149343200832288,26.620706323978894,3650.828,2.487927319492314,4.18839163793879,-2.01583310669507,0.002314295882739856,32.480416444757985,1.8351461429226603,98.85044855913476
7,2008-04-03 18:28:47,B0005,7,10127.562,3.048720950345317,4.212850577044761,-3.385806497377117,1.5160376811966019,26.737918888901717,3572.453,2.6652049047458775,4.188927891511958,-2.0166395518034546,0.002227616056915605,32.41046186109587,1.8257567905665537,98.34468955151549
8,2008-04-03 22:38:27,B0005,8,10147.952999999994,3.0824222303522406,4.213141772335243,-3.43387007729948,1.5173922491512082,26.74145703066146,3550.594,2.6038584726333673,4.189029250882121,-2.018357230695621,0.005401028321021492,32.3461408313,1.8247738529891333,98.29174345738105
9,2008-04-04 02:48:06,B0005,9,10162.094,3.075795646323062,4.212949842741421,-3.416543780338169,1.517754813457655,26.7021703105932,3551.25,2.552853984885676,4.189223427076418,-2.0160718378149842,0.0030191479674457028,32.27679750791685,1.824613268496936,98.2830935473199
